iter	Passed	Remaining
406	4314	6285
407	4320	6268
408	4329	6255
409	4334	6237
410	4340	6220
411	4349	6206
412	4354	6188
413	4362	6174
414	4367	6155
415	4373	6139
416	4381	6125
417	4389	6111
418	4396	6095
419	4401	6078
420	4409	6064
421	4414	6046
422	4420	6030
423	4427	6014
424	4436	6002
425	4447	5992
426	4457	5980
427	4465	5968
428	4472	5952
429	4479	5937
430	4486	5922
431	4493	5907
432	4500	5892
433	4507	5878
434	4514	5863
435	4520	5847
436	4526	5831
437	4531	5814
438	4541	5803
439	4553	5795
440	4559	5779
441	4571	5770
442	4580	5759
443	4588	5746
444	4594	5730
445	4606	5721
446	4612	5706
447	4622	5696
448	4630	5682
449	4639	5670
450	4646	5656
451	4659	5649
452	4670	5639
453	4677	5625
454	4685	5611
455	4692	5598
456	4705	5590
457	4712	5576
458	4719	5562
459	4724	5546
460	4733	5534
461	4738	5518
462	4745	5504
463	4754	5492
464	4759	5476
465	4769	5465
466	4774	5449
467	4783	5437
468	4788	5421
469	4793	5405
470	4799	5390
471	4805	5375
472	4814	5364
473	4819	5348
474	4829	5337
475	4834	5322
476	4840	5307
477	4851	5298
478	4858	5284
479	4866	5272
480	4875	5260
481	4884	5249
482	4891	5235
483	4897	5221
484	4902	5205
485	4911	5194
486	4916	5179
487	4922	5164
488	4930	5152
489	4936	5137
490	4942	5123
491	4948	5109
492	4957	5097
493	4964	5084
494	4971	5072
495	4979	5059
496	4985	5045
497	4992	5032
498	4998	5018
499	5008	5008
500	5014	4994
501	5022	4982
502	5028	4968
503	5040	4960
504	5047	4947
505	5056	4936
506	5065	4925
507	5074	4915
508	5080	4900
509	5091	4891
510	5097	4877
511	5109	4869
512	5117	4857
513	5128	4849
514	5136	4837
515	5146	4827
516	5154	4815
517	5162	4803
518	5172	4794
519	5182	4783
520	5191	4772
521	5197	4759
522	5208	4749
523	5214	4736
524	5219	4722
525	5224	4708
526	5234	4697
527	5242	4686
528	5253	4677
529	5268	4671
530	5280	4664
531	5290	4653
532	5303	4647
533	5319	4641
534	5335	4637
535	5344	4626
536	5355	4617
537	5368	4610
538	5376	4598
539	5384	4586
540	5392	4575
541	5401	4564
542	5410	4553
543	5422	4545
544	5435	4537
545	5447	4529
546	5456	4518
547	5466	4508
548	5473	4496
549	5481	4484
550	5489	4473
551	5498	4462
552	5509	4453
553	5517	4441
554	5523	4428
555	5535	4420
556	5544	4409
557	5550	4396
558	5558	4384
559	5567	4374
560	5575	4363
561	5583	4351
562	5589	4338
563	5598	4327
564	5603	4314
565	5610	4301
566	5617	4290
567	5624	4277
568	5630	4265
569	5637	4252
570	5644	4240
571	5650	4227
572	5658	4216
573	5666	4205
574	5674	4194
575	5682	4182
576	5688	4170
577	5694	4157
578	5704	4147
579	5711	4135
580	5717	4123
581	5724	4111
582	5730	4098
583	5736	4086
584	5745	4075
585	5752	4063
586	5759	4052
587	5767	4041
588	5774	4029
589	5780	4016
590	5787	4004
591	5795	3993
592	5801	3981
593	5807	3969
594	5813	3956
595	5821	3945
596	5830	3935
597	5839	3925
598	5846	3913
599	5852	3901
600	5859	3890
601	5866	3878
602	5877	3869
603	5884	3857
604	5891	3846
605	5902	3837
606	5910	3827
607	5922	3818
608	5934	3810
609	5943	3799
610	5950	3788
611	5958	3777
612	5966	3766
613	5974	3755
614	5980	3743
615	5988	3733
616	5996	3722
617	6003	3711
618	6009	3698
619	6017	3688
620	6024	3676
621	6032	3665
622	6039	3654
623	6045	3642
624	6052	3631
625	6059	3620
626	6065	3608
627	6075	3598
628	6084	3588
629	6092	3577
630	6099	3567
631	6107	3556
632	6116	3546
633	6123	3534
634	6129	3523
635	6137	3512
636	6144	3501
637	6151	3490
638	6157	3478
639	6166	3468
640	6175	3458
641	6182	3447
642	6191	3437
643	6198	3426
644	6204	3414
645	6212	3404
646	6224	3395
647	6230	3384
648	6237	3373
649	6244	3362
650	6249	3350
651	6259	3340
652	6266	3329
653	6278	3321
654	6291	3314
655	6300	3303
656	6310	3294
657	6323	3286
658	6334	3277
659	6344	3268
660	6355	3259
661	6363	3248
662	6371	3238
663	6378	3227
664	6385	3216
665	6392	3205
666	6400	3195
667	6407	3184
668	6418	3175
669	6428	3166
670	6435	3155
671	6441	3144
672	6452	3135
673	6464	3126
674	6479	3119
675	6492	3111
676	6506	3104
677	6521	3097
678	6533	3088
679	6542	3078
680	6551	3069
681	6565	3061
682	6573	3050
683	6583	3041
684	6591	3031
685	6601	3021
686	6611	3012
687	6622	3003
688	6632	2993
689	6639	2982
690	6648	2973
691	6657	2963
692	6676	2957
693	6686	2948
694	6700	2940
695	6708	2930
696	6717	2920
697	6723	2909
698	6733	2899
699	6741	2889
700	6748	2878
701	6755	2867
702	6765	2858
703	6771	2847
704	6778	2836
705	6784	2825
706	6795	2816
707	6803	2806
708	6811	2795
709	6820	2785
710	6828	2775
711	6833	2764
712	6841	2753
713	6845	2742
714	6854	2732
715	6863	2722
716	6870	2711
717	6880	2702
718	6887	2691
719	6897	2682
720	6909	2673
721	6917	2663
722	6927	2654
723	6934	2643
724	6944	2634
725	6952	2623
726	6960	2613
727	6967	2603
728	6973	2592
729	6979	2581
730	6988	2571
731	6998	2562
732	7006	2552
733	7016	2542
734	7023	2532
735	7030	2521
736	7035	2510
737	7041	2499
738	7050	2490
739	7057	2479
740	7065	2469
741	7071	2458
742	7079	2448
743	7086	2438
744	7095	2428
745	7101	2417
746	7109	2407
747	7116	2397
748	7124	2387
749	7134	2378
750	7143	2368
751	7150	2358
752	7158	2348
753	7164	2337
754	7171	2327
755	7179	2317
756	7188	2307
757	7199	2298
758	7210	2289
759	7218	2279
760	7226	2269
761	7231	2258
762	7238	2248
763	7245	2238
764	7254	2228
765	7261	2218
766	7267	2207
767	7275	2197
768	7283	2187
769	7291	2177
770	7297	2167
771	7304	2157
772	7326	2151
773	7343	2144
774	7357	2135
775	7367	2126
776	7379	2117
777	7388	2108
778	7402	2100
779	7412	2090
780	7421	2081
781	7431	2071
782	7438	2061
783	7448	2052
784	7455	2041
785	7464	2032
786	7478	2024
787	7493	2015
788	7504	2006
789	7521	1999
790	7532	1990
791	7538	1979
792	7545	1969
793	7551	1959
794	7560	1949
795	7566	1939
796	7575	1929
797	7583	1919
798	7592	1909
799	7602	1900
800	7611	1890
801	7618	1880
802	7626	1871
803	7635	1861
804	7644	1851
805	7657	1843
806	7667	1833
807	7681	1825
808	7699	1817
809	7716	1809
810	7732	1802
811	7744	1792
812	7762	1785
813	7774	1776
814	7785	1767
815	7800	1758
816	7813	1750
817	7826	1741
818	7840	1732
819	7854	1724
820	7866	1715
821	7882	1706
822	7897	1698
823	7910	1689
824	7922	1680
825	7936	1671
826	7946	1662
827	7958	1653
828	7972	1644
829	7982	1635
830	7991	1625
831	8012	1617
832	8032	1610
833	8045	1601
834	8058	1592
835	8071	1583
836	8080	1573
837	8089	1563
838	8097	1553
839	8103	1543
840	8109	1533
841	8115	1522
842	8120	1512
843	8126	1502
844	8132	1491
845	8138	1481
846	8151	1472
847	8175	1465
848	8195	1457
849	8210	1448
850	8220	1439
851	8228	1429
852	8248	1421
853	8265	1413
854	8280	1404
855	8294	1395
856	8303	1385
857	8312	1375
858	8321	1365
859	8336	1357
860	8353	1348
861	8361	1338
862	8373	1329
863	8383	1319
864	8391	1309
865	8407	1300
866	8437	1294
867	8452	1285
868	8469	1276
869	8479	1267
870	8489	1257
871	8508	1248
872	8525	1240
873	8541	1231
874	8554	1222
875	8568	1212
876	8582	1203
877	8595	1194
878	8608	1184
879	8617	1175
880	8629	1165
881	8647	1156
882	8666	1148
883	8681	1139
884	8696	1130
885	8710	1120
886	8724	1111
887	8736	1101
888	8750	1092
889	8764	1083
890	8773	1073
891	8786	1063
892	8814	1056
893	8849	1049
894	8868	1040
895	8890	1031
896	8901	1022
897	8909	1012
898	8922	1002
899	8930	992
900	8942	982
901	8959	973
902	8970	963
903	8979	953
904	8990	943
905	9001	933
906	9013	924
907	9028	914
908	9045	905
909	9051	895
910	9059	885
911	9065	874
912	9073	864
913	9080	854
914	9092	844
915	9101	834
916	9108	824
917	9115	814
918	9125	804
919	9130	793
920	9138	783
921	9145	773
922	9154	763
923	9162	753
924	9170	743
925	9175	733
926	9186	723
927	9195	713
928	9202	703
929	9209	693
930	9218	683
931	9225	673
932	9234	663
933	9244	653
934	9257	643
935	9270	633
936	9278	623
937	9285	613
938	9291	603
939	9300	593
940	9308	583
941	9318	573
942	9324	563
943	9330	553
944	9338	543
945	9347	533
946	9356	523
947	9365	513
948	9372	503
949	9380	493
950	9388	483
951	9397	473
952	9409	464
953	9419	454
954	9428	444
955	9436	434
956	9448	424
957	9457	414
958	9466	404
959	9472	394
960	9483	384
961	9492	374
962	9502	365
963	9512	355
964	9521	345
965	9531	335
966	9539	325
967	9545	315
968	9553	305
969	9558	295
970	9565	285
971	9572	275
972	9579	265
973	9590	256
974	9606	246
975	9613	236
976	9619	226
977	9626	216
978	9639	206
979	9651	196
980	9662	187
981	9672	177
982	9679	167
983	9690	157
984	9697	147
985	9704	137
986	9710	127
987	9718	118
988	9726	108
989	9734	98
990	9742	88
991	9752	78
992	9760	68
993	9768	58
994	9773	49
995	9778	39
996	9787	29
997	9793	19
998	9800	9
999	9806	0
