iter	MultiClass
0	1.298163488
1	1.226560595
2	1.170846694
3	1.120354972
4	1.078626613
5	1.043530735
6	1.013165755
7	0.9869752357
8	0.9637209029
9	0.9451655911
10	0.9280518515
11	0.9117535033
12	0.8974898084
13	0.8856591626
14	0.8756257173
15	0.8647734197
16	0.8552698903
17	0.8462160293
18	0.8376734802
19	0.8305012526
20	0.8237418501
21	0.8180521614
22	0.8116538799
23	0.8066640291
24	0.801859247
25	0.7972050136
26	0.7928558218
27	0.7897868394
28	0.786580619
29	0.7830359987
30	0.7797206047
31	0.7764521857
32	0.7742446688
33	0.7726735218
34	0.7702512743
35	0.7674161484
36	0.7654554479
37	0.7631463369
38	0.7610583936
39	0.7587353043
40	0.7568889986
41	0.755047859
42	0.7527363069
43	0.7510828962
44	0.7492843502
45	0.7475942267
46	0.7465187999
47	0.7442632393
48	0.7429922357
49	0.7412692008
50	0.7397652027
51	0.7378676739
52	0.7367402265
53	0.7356720373
54	0.7346641936
55	0.7331963379
56	0.7312720317
57	0.7300353197
58	0.7287400598
59	0.7273297602
60	0.727194452
61	0.7259158345
62	0.7256496301
63	0.7239354199
64	0.7226982191
65	0.7216060112
66	0.7209573986
67	0.7197520186
68	0.7186622512
69	0.7178986594
70	0.7164431179
71	0.7153187099
72	0.7140278524
73	0.7126977539
74	0.7114288288
75	0.7105299994
76	0.709560044
77	0.7086610391
78	0.708112929
79	0.7068071989
80	0.7061380845
81	0.7049007296
82	0.7039096596
83	0.7031299252
84	0.7022281723
85	0.701484255
86	0.7006150686
87	0.7000452881
88	0.6991810926
89	0.6982742178
90	0.6974784649
91	0.696862795
92	0.6956343709
93	0.6947530629
94	0.6941775126
95	0.6933941537
96	0.692690973
97	0.6918675357
98	0.6912096556
99	0.6904630991
100	0.6895839983
101	0.6884149377
102	0.6877158829
103	0.6871798333
104	0.6865716722
105	0.6858350946
106	0.6849038564
107	0.6842698995
108	0.6831529939
109	0.6823083477
110	0.6816368439
111	0.6808570064
112	0.6800269212
113	0.679265826
114	0.6784784675
115	0.6778273082
116	0.6771129161
117	0.6763922693
118	0.6756549781
119	0.6746384472
120	0.673333434
121	0.6726241561
122	0.6721321416
123	0.6712310464
124	0.6701590058
125	0.6688782156
126	0.6679663453
127	0.6672136509
128	0.6666646981
129	0.6653357125
130	0.6644672219
131	0.6638335744
132	0.6630567813
133	0.6623581127
134	0.6617709671
135	0.6613997995
136	0.6604262026
137	0.6595646073
138	0.6588008061
139	0.6584328252
140	0.6578503566
141	0.6570946012
142	0.656697585
143	0.6555011237
144	0.6543475627
145	0.6530144918
146	0.6522990127
147	0.6512662181
148	0.6507827567
149	0.649743832
150	0.6488924685
151	0.6481894227
152	0.6470700595
153	0.6466133133
154	0.6456770628
155	0.6448987458
156	0.6442182001
157	0.6431516999
158	0.6424206237
159	0.6416657499
160	0.6410140161
161	0.639945798
